rid	qln	items
A06170512LLXAS5ND7UQB	5	['B00920ID30']
A0702042KBDIV9DA2V1D	1	['B00ELFDIFY', 'B00EC4WJNQ', 'B00CJFZ07C']
A0702042KBDIV9DA2V1D	11	['B00EC4WJNQ']
A0702308J1UBN3ZU7GVH	1	['B00I8Q490A', 'B00FOXX4G0']
A0702308J1UBN3ZU7GVH	12	['B00F0UM4MC']
A0712184E2Z0T1Z4V4ZN	12	['B006EC5X6O']
A0712184E2Z0T1Z4V4ZN	13	['B008BAUKSI']
A0718784TOWF9DX1DOFD	10	['B00GCFSLFS']
A0718784TOWF9DX1DOFD	25	['B004PYEEZO']
A0720622H67YG6H1K33S	16	['B00BI9AKJI', 'B001UBB9GM']
A07961442OVXEW0GVNUET	1	['B005LVU37S']
A07961442OVXEW0GVNUET	4	['B00470ERYO']
A080918423RCI2LU1AOMB	1	['B00GII0YEA', 'B009PUZ5H4']
A08161909WK3HU7UYTMW	1	['B009YN5EZA']
A08161909WK3HU7UYTMW	20	['B008W8PTF8', 'B00BMJTR4I', 'B003X7RY06']
A08161909WK3HU7UYTMW	28	['B00E3UKHQU']
A08699911833RNLMSSUKC	1	['B00CGKUDI6']
A08699911833RNLMSSUKC	12	['B00C5SMPA8']
A089213922RSRMP604OCR	1	['B006B2VOTM', 'B00B2FJKBM']
A089213922RSRMP604OCR	16	['B004KFXTOA']
A09246522HXUNUT8CCVIU	13	['B00AMOAW4S']
A09254782VJKWIDD9QUZM	10	['B00FQPGAHG']
A095279462RKEPKUCAWI	1	['B0055Q5F2W']
A095279462RKEPKUCAWI	10	['B006W0DC6Q']
A095279462RKEPKUCAWI	6	['B002RL8TFS']
A0954586PW98I9TNZXJP	19	['B005WF9OHI']
A1000SVLSFZ8S6	1	['B00BZGQ7ZA']
A1000SVLSFZ8S6	15	['B00DQCUVPI']
A1000SVLSFZ8S6	3	['B00AAJM81A']
A1000SVLSFZ8S6	31	['B00DQCUVPI']
A10063PJ5C9WQQ	1	['B00I8Q490A', 'B007A4K4H8']
A10063PJ5C9WQQ	5	['B009TCUPIC']
A100UD67AHFODS	22	['B007CBSBM4']
A100WO06OQR8BQ	1	['B007FMZYU2', 'B007P1RTOC']
A100YFIGRKDVC2	1	['B00F856178', 'B007J7IKVI', 'B006J1K3AG']
A10142313CL53B5YOI1QJ	10	['B0072KY4K8']
A101577718CATXNFEYBQR	1	['B0094CX0NO']
A101577718CATXNFEYBQR	26	['B0094CX0NO', 'B0094CX5M0']
A101577718CATXNFEYBQR	43	['B0094CX5M0']
A10169B1F7EQ9T	15	['B00AANMVNQ', 'B00CPK7U60']
A10169B1F7EQ9T	37	['B00AANMVNQ']
A10169B1F7EQ9T	5	['B00AANMVNQ']
A1018D502E27E6	1	['B005SUHRVC', 'B009Y0ZH6Y']
A1018D502E27E6	20	['B00BTN4RX8']
A101UMMRGQJJ7X	1	['B009E5O9UE']
A101UMMRGQJJ7X	10	['B009LAZG2M']
A101UMMRGQJJ7X	11	['B009E5O9UE']
A10204DEPQA929	1	['B00E486Q9I']
A10204DEPQA929	23	['B004A9FI2M']
A10214432MOS74F92C9QW	15	['B00F6SQ7IK']
A10214432MOS74F92C9QW	30	['B00FJ8WBJG']
A10214432MOS74F92C9QW	31	['B00F6SQ7IK']
A102R6G6WVWF23	1	['B00BUIG6OK', 'B00BBD0A82']
A102R6G6WVWF23	11	['B00BBD0A82']
A102R6G6WVWF23	27	['B00FA892IS']
A102TCMSQAJIDR	1	['B0057GSUOA']
A102XBFOWJT4K	1	['B0094CX0NO']
A102XBFOWJT4K	26	['B0094CX0NO']
A102XBFOWJT4K	6	['B000VAPXBA']
A10369001SFW0R3OV4GSZ	118	['B0011GI94Q']
A10369001SFW0R3OV4GSZ	12	['B003QXNA28']
A10369001SFW0R3OV4GSZ	2	['B0011GI94Q']
A1038957GWRBP375RU5T	1	['B0056AWLQ0']
A1038957GWRBP375RU5T	12	['B006JHU3DC']
A103CVD599R8QA	1	['B00BMCYYL6']
A103D3GYGFHS96	13	['B007KWXHCY']
A103D3GYGFHS96	35	['B00B0KRS36']
A103EFN0LE0PPT	12	['B00CDWTQD0']
A103U62M12TZOB	1	['B00AASMABY', 'B009JAE7NS']
A10421352CO31TZ75TAD2	1	['B004I53B8G']
A10421352CO31TZ75TAD2	12	['B0050FXANY', 'B00DPIKL5S']
A10436JZZW87TE	15	['B00H5I8MNM']
A10436JZZW87TE	6	['B00H0CV9WE']
A1047EDJ84IMAS	1	['B002LG2HK2']
A1047EDJ84IMAS	12	['B00BT8L2MW', 'B005OTKTMQ']
A1047HEENF4C0C	1	['B00AG0D52O', 'B00AOW8ICQ']
A1047HEENF4C0C	31	['B004XDTXZI']
A1047HEENF4C0C	6	['B0092KJ9BU']
A104D63S7TZCNU	1	['B003M2Y3UQ', 'B008H34ZQW']
A104D63S7TZCNU	30	['B00EKT6JD4']
A104G4NLBF3HY3	1	['B00AG0D52O']
A104G4NLBF3HY3	13	['B00AA281D6']
A104MN3YUZSAJ2	1	['B009IFU5P8']
A104NOZY73BQTQ	1	['B00ETKS1QW', 'B00GLCEGFQ']
A104NOZY73BQTQ	10	['B001XXUOQI']
A104R1UFTJNBKK	1	['B009RI0C9A', 'B009GX8RXY']
A104R1UFTJNBKK	6	['B0064YPSMQ']
A1052NCEKSFKFU	1	['B005G21PGA', 'B005VNK7T0', 'B003SHM08W']
A1052NCEKSFKFU	12	['B003TM5AJM']
A1055W5TLCAIZ4	15	['B005K7192G']
A1055W5TLCAIZ4	37	['B005K7192G']
A1055W5TLCAIZ4	5	['B008RZYN8A', 'B005K7192G']
A105ER3X3YSN4G	1	['B00F010IS8', 'B00EB3FZH0']
A105ER3X3YSN4G	12	['B00BL5FBFW']
A105ER3X3YSN4G	16	['B00BC0WNUC']
A105K765Z5SX1A	1	['B0098C4JKS']
A105L5EX9D0NH8	1	['B008YJ7K2K']
A105L5EX9D0NH8	27	['B00B78MT44']
A105RNR6XXJCYS	1	['B00DJZZ9W2']
A105RNR6XXJCYS	22	['B0098T62GA']
A105S56ODHGJEK	23	['B007AQF0WK']
A105S56ODHGJEK	47	['B004877KOK']
A105S56ODHGJEK	6	['B00EVYGGY0']
A105UR65IECBCA	16	['B00607JBNO']
A105UR65IECBCA	27	['B007PSPQ7W']
A10601M1X8BVSW	1	['B004M5KV3A', 'B0076GKFWE', 'B00400VOJ2', 'B006JW37K8']
A1062JQO414I12	1	['B00BUIG6OK', 'B000IEB00W', 'B00BLY29CG']
A1062JQO414I12	11	['B00BLY29CG']
A106F7F5MSWT95	1	['B0097DLKG4', 'B0098FKHBU']
A106GOES5C8K5V	1	['B00CFVNXTC']
A106GOES5C8K5V	4	['B00BSOBMUE']
A106Q1A6LGU4DP	1	['B008589ZZ0', 'B005PVXKC4']
A106Q1A6LGU4DP	12	['B006LVZDA4']
A106Q1A6LGU4DP	31	['B002M3TLLC']
A106RL7ZB0N5W8	1	['B00974L0EA', 'B007F8XNCM', 'B006B2VO56', 'B0090YGJ4I']
A106RL7ZB0N5W8	23	['B00974L0EA']
A1079CQTAUIX6J	12	['B00AI6K5JW']
A1079CQTAUIX6J	14	['B00AI6K5JW']
A1079CQTAUIX6J	28	['B009LRNT1A']
A107K10JTO8NSH	1	['B006FCO06W', 'B0059DLLJC', 'B006HDABKI', 'B003SX0OWA', 'B005LUBUT4']
A107K10JTO8NSH	33	['B003ZFQUWO']
A107K8AJUOTGRQ	1	['B00979IUUW']
A107K962WEI9H	1	['B00BYJXGP2', 'B00DCIZJ5S']
A107MM8DASRY41	1	['B0094CX21E', 'B0057UAN8M', 'B004I8WD7S']
A107OPFJV11RKO	1	['B00AW2QT8I', 'B00E5QBOD2', 'B00DRPOVVO']
A107OPFJV11RKO	19	['B00AW2QT8I']
A107OPFJV11RKO	20	['B007AJ43VG']
A1086X5YV9M4QF	6	['B000M92GLK']
A1088U89A8HWJX	12	['B001BNCJ5E']
A1088U89A8HWJX	6	['B005FPT380', 'B0092KJ9BU']
A108979C0JSDZS	1	['B007PKO54U', 'B00408Z710', 'B0059DLLJC']
A108979C0JSDZS	35	['B00AMT7DCC']
A108AD4LUZMWQU	1	['B00E486Q9I']
A108AD4LUZMWQU	12	['B009EA548U']
A108AD4LUZMWQU	15	['B00C40OG22']
A108BE4UU6EELV	1	['B006VQ3OUA', 'B00ELMXX20', 'B006YJC7J8']
A108BE4UU6EELV	12	['B00FEZOX36']
A108EEYSHGDL6O	12	['B0097EDCAA']
A108EEYSHGDL6O	4	['B0042I3UJE', 'B004COEDQM']
A108Q6BM1EM127	1	['B0090YGJ4I']
A108Q6BM1EM127	6	['B005LISQ0W', 'B00H2RP6W6']
A108Q7Q36NS5M4	1	['B009IFU5P8']
A108Q7Q36NS5M4	12	['B004KQ8RKK']
A108WUXJU86SN1	12	['B004Y0R9DI']
A108XABRHAA9E7	1	['B006C248BC']
A108XABRHAA9E7	23	['B007AQF0WK']
A108XABRHAA9E7	6	['B005PUZO92']
A10938QNO7IYIB	1	['B00GX00NE4', 'B0052QRMG2', 'B00HUBI47I']
A10938QNO7IYIB	15	['B00HEARSQ8']
A10938QNO7IYIB	3	['B00F3583S8']
A10938QNO7IYIB	45	['B003YX45CY']
A109P9E2DVWBOK	1	['B00DJZZ9W2', 'B006T8JT3Q', 'B0090YGJ4I']
A109P9E2DVWBOK	10	['B00APLOM62']
A109P9E2DVWBOK	4	['B004Z4UG1U']
A10AAULK3SQEK1	1	['B005SUHRVC', 'B004WXC4P0', 'B004WLXB0O']
A10AFVU66A79Y1	1	['B009F4XM48', 'B00FH6QTJ8']
A10AFVU66A79Y1	22	['B0064R6VWO']
A10AFVU66A79Y1	6	['B0060EKFYG']
A10AG9LEQ0CN47	1	['B006WU4CQK']
A10AG9LEQ0CN47	10	['B006DQWIKK']
A10AGLJYHNUKZA	1	['B005YTPEEO', 'B00CGS7HF0']
A10ASLX7DTTB6Z	1	['B00A6WWPAK']
A10ASLX7DTTB6Z	15	['B008VP21BW']
A10ASLX7DTTB6Z	19	['B00A6WWPAK']
A10ASLX7DTTB6Z	23	['B00A6WWPAK']
A10B6RYJQ00161	1	['B009IFU5P8', 'B00BAQW7PO', 'B00AAT27SY']
A10B6RYJQ00161	11	['B00BAQW7PO']
A10BSS8EZFU0RZ	1	['B003EW81Q6']
A10BSS8EZFU0RZ	15	['B00563TSU4']
A10BSS8EZFU0RZ	32	['B003EW81Q6']
A10C2BDNVI3UZS	13	['B008QBFD2K']
A10C84Y38RT22P	0	['B002BDU7U2']
A10C84Y38RT22P	1	['B002BDU7U2', 'B00A7BDAWC']
A10C9HFW1S3W0P	1	['B0096XAUSY']
A10C9HFW1S3W0P	25	['B007C5S3AU']
A10C9HFW1S3W0P	26	['B0096XAUSY']
A10C9HFW1S3W0P	27	['B002YESWOQ']
A10CNPZV0QVDSH	1	['B00DJZZ9W2']
A10CNPZV0QVDSH	12	['B008MBP6O4']
A10CNPZV0QVDSH	27	['B00CH8PCWO']
A10D3ZJ7KSJV42	23	['B00E45043A']
A10D3ZJ7KSJV42	28	['B00E45043A']
A10DBG7FPPAE6C	1	['B0058O0ANU']
A10DBG7FPPAE6C	19	['B0058O0ANU']
A10DBG7FPPAE6C	47	['B005J2NHD6']
A10DG0U5KL7YEG	10	['B00FQPGAHG']
A10DG0U5KL7YEG	3	['B00F3583S8']
A10DHJK4D0QFKR	1	['B00CS8IMDE']
A10DHJK4D0QFKR	27	['B0099RGRT8']
A10DHJK4D0QFKR	3	['B009E6THYG']
A10DHVWCLL3EA3	15	['B00GB8XIRW']
A10DHVWCLL3EA3	6	['B005LISQ0W']
A10DI4EQIJHHI7	1	['B009N5OX2E', 'B00D0KVCCM']
A10DI4EQIJHHI7	10	['B00J5OTUOY']
A10DI4EQIJHHI7	11	['B00D0KVCCM']
A10DI4EQIJHHI7	52	['B00J5OTUOY']
A10DO6ICE4I3IW	1	['B006FZ2H4Q']
A10DO6ICE4I3IW	12	['B005Z2BZD4', 'B005FB4LN6']
A10DO6ICE4I3IW	15	['B008VFMPRW']
A10DO6ICE4I3IW	17	['B006OP62FM']
A10DWTZH69N2O6	1	['B00BV96VDY', 'B00BUIG6OK']
A10DWTZH69N2O6	10	['B00CUU6K5M']
A10DWTZH69N2O6	13	['B00CNU3H28']
A10E1IM5UU7OIB	13	['B00AMOAW4S']
A10E30WW4A7FJ1	1	['B00846V35I', 'B006JW3A8W']
A10E30WW4A7FJ1	32	['B00846V35I']
A10EP2YTIXOC3X	1	['B009N5OX2E', 'B00EZ3ZNIC']
A10EP2YTIXOC3X	11	['B00EZ3ZNIC']
A10EP2YTIXOC3X	16	['B0099LATZ2']
A10FG1O5SHFLUQ	1	['B00713EB22', 'B00BV96VDY']
A10FHIE6EYFOUG	10	['B004T0GHOU']
A10FHIE6EYFOUG	20	['B009P16FKY']
A10FO9BPP977EC	1	['B00BLY29CG']
A10FO9BPP977EC	11	['B00BLY29CG']
A10FO9BPP977EC	31	['B00BW0XZO0']
A10FP2595BNO30	1	['B00DJ50UTO']
A10FP2595BNO30	11	['B00DJ50UTO']
A10FWDNFP0XWS4	1	['B004IAFTMM', 'B00A9YJ48Q']
A10FWDNFP0XWS4	47	['B004877KOK']
A10G4BPT5MGBHY	1	['B005PVXIWQ']
A10G4BPT5MGBHY	11	['B00A44OEYU']
A10G4BPT5MGBHY	27	['B005G606O8']
A10GK3BHE3Y14R	20	['B009B9YWB4']
A10GOQ7LDWBGY8	1	['B002ECE8PK', 'B003OBU5AM', 'B005SUHPO6']
A10GOQ7LDWBGY8	14	['B003OBU5AM']
A10H24TDLK2VDP	1	['B004L3QQDC', 'B0093VGQY6']
A10H24TDLK2VDP	118	['B00FQQ4PNQ']
A10H24TDLK2VDP	13	['B00FQQ4PNQ']
A10H24TDLK2VDP	27	['B00CO3HCSY']
A10H37MLWEATV1	1	['B006B2VL5O', 'B0011WFERU']
A10H37MLWEATV1	12	['B006EC5X6O']
A10H37MLWEATV1	26	['B0011WFERU']
A10H52874HQ6HH	12	['B00BSDSDSO']
A10HB4JJVMUBYB	1	['B00APL5AFY', 'B00D31NIY8']
A10HB4JJVMUBYB	14	['B00COYOAYW']
A10HB4JJVMUBYB	23	['B00COYOAYW']
A10HB4JJVMUBYB	27	['B00BJF1DLU', 'B00D4ON4S4']
A10HB4JJVMUBYB	28	['B00COYOAYW']
A10HFG1TAAF5PQ	12	['B008DC76AE']
A10HK7ADIKZKOR	3	['B007PZMD7G']
A10HO2BP340N0E	10	['B009CJI1X8']
A10HO2BP340N0E	17	['B004LSN0GS']
A10HTM772EXTST	10	['B006DQWIKK']
A10I7MYH5IYYWP	26	['B00GQ9HWB4']
A10IKHRUSMKP46	1	['B004M5KV3A']
A10J3QFPL5B3NV	15	['B00CPK7U60']
A10J3QFPL5B3NV	6	['B0092KJ9BU']
A10J4CV7MMAAMQ	12	['B009EA548U', 'B0098ACVH8']
A10J85RQSYBU61	1	['B00BYJXGP2']
A10J85RQSYBU61	12	['B00BPDYVDS']
A10JCH4QD28T7O	1	['B004M5KV3A', 'B005SUHPO6']
A10JCH4QD28T7O	4	['B003MS83KG', 'B004SK3LSG']
A10JLHSP2ZGWXH	1	['B00CEQJC4S']
A10JMP1MR3BV1C	1	['B00993E7PI']
A10JPZAYDGFHEV	10	['B00DECC1AI']
A10JPZAYDGFHEV	12	['B00IGISO9C', 'B00BT7RAPG']
A10JPZAYDGFHEV	14	['B00IGISO9C', 'B00BT7RAPG']
A10JPZAYDGFHEV	22	['B003KWIIIG']
A10JPZAYDGFHEV	6	['B004KPLA9Q']
A10K606KWGOA2Y	1	['B00C7CTA32', 'B00GT60EWS']
A10K606KWGOA2Y	16	['B000JL4Y3Y']
A10K7QBLLN6VLE	6	['B0009B0IX4', 'B005LISQ0W']
A10KHX41ONY4U1	1	['B0054EBOIO']
A10L0UVO8RUSMW	15	['B00E9MUNSO']
A10LJY25KWXJWY	15	['B0013G8PTS']
A10LJY25KWXJWY	34	['B0013G8PTS']
A10LJY25KWXJWY	5	['B009TCUPIC']
A10LKMHSIHG2TD	1	['B005SUHPO6', 'B0052QRMG2']
A10LKMHSIHG2TD	4	['B003ZU5X36']
A10LKQR4HXZTZY	1	['B005JHJYKQ']
A10LKQR4HXZTZY	12	['B009EA548U']
A10LKQR4HXZTZY	13	['B00DRJTY44']
A10LKQR4HXZTZY	23	['B001G0HW18']
A10LKQR4HXZTZY	4	['B002VDSZII']
A10LP0SHURBDGW	12	['B00F10VZB2', 'B00BT7RAPG']
A10LP0SHURBDGW	14	['B00BT7RAPG']
A10LP0SHURBDGW	15	['B008VFMPRW']
A10LWBOIZCF2QT	1	['B005PVXKC4']
A10LWFKVC21F82	1	['B006D9ZTCG']
A10LWFKVC21F82	10	['B002898922']
A10LWFKVC21F82	13	['B003Q6CSVE']
A10LWFKVC21F82	2	['B0056C0KI4']
A10M1CEJIUXKVA	17	['B00E1UWA4O']
A10M3MU3FI6AQG	12	['B00BSGGQCQ', 'B0093QU7DW']
A10M3MU3FI6AQG	13	['B008CNZ8KY']
A10M4FYTSSWT9Q	1	['B0054EBOIO', 'B00400VOJ2', 'B006PUSYBQ']
A10M4FYTSSWT9Q	25	['B0047EM82I']
A10M4HT34FHEPU	1	['B0082PH1MK', 'B009NQXV80', 'B009F7TJN8']
A10M4HT34FHEPU	13	['B009DPR8GW']
A10M4HT34FHEPU	37	['B005NF5NTK']
A10M4HT34FHEPU	5	['B005NF5NTK']
A10M6PO7GNL0X9	1	['B00AYRQV02', 'B00CE0GPI0']
A10M6PO7GNL0X9	11	['B00AYRQV02']
A10M6PO7GNL0X9	12	['B00BUA69Q8']
A10MFPOYPCCPXD	12	['B003ZA86CQ']
A10MFPOYPCCPXD	31	['B00C4CVT7A']
A10MM027O47V7L	1	['B00756KYD0']
A10MM027O47V7L	12	['B005SKGJX4']
A10MM027O47V7L	28	['B008ZE7G3W']
A10N3DDOC3GHW6	1	['B006G7Z6VY']
A10N3GBBWFKWE	1	['B009N5OX2E']
A10N3GBBWFKWE	10	['B00HDQAUDG']
A10N3GBBWFKWE	11	['B00AHSWCVU']
A10N3GBBWFKWE	12	['B00AGABISW', 'B00DE035N2']
A10N76H4I3VURE	1	['B0046D3T5A', 'B004BUS1AQ']
A10NM8DYLHJUA3	10	['B007Z419BI']
A10NM8DYLHJUA3	126	['B00EF1OGOG']
A10NM8DYLHJUA3	15	['B00EF1OGOG']
A10NM8DYLHJUA3	37	['B00EF1OGOG']
A10NM8DYLHJUA3	5	['B00EF1OGOG']
A10NMELR4KX0J6	10	['B005GGBYJ4']
A10NMELR4KX0J6	27	['B004M8ST18']
A10NMELR4KX0J6	6	['B005LISQ0W', 'B0093TSSGW']
A10NR1JXIFZYLC	1	['B00KB9AWEE', 'B00IVTLVTG']
A10NR1JXIFZYLC	10	['B00DQMHM14']
A10NR1JXIFZYLC	15	['B00CY4SG10']
A10NR1JXIFZYLC	17	['B00CY4SG10']
A10NR1JXIFZYLC	31	['B00CY4SG10']
A10O18BTQL8QBE	1	['B00AW2QT8I']
A10O18BTQL8QBE	19	['B00AW2QT8I']
A10O18BTQL8QBE	6	['B000UBNFT2']
A10O1R3NYWFCAJ	1	['B00805SEKK']
A10O1R3NYWFCAJ	15	['B00HA88XHW']
A10O1R3NYWFCAJ	16	['B0041RSFT6']
A10O1R3NYWFCAJ	27	['B004G1L52Q']
A10O1SW6BBO00O	1	['B0096QYAT6', 'B0099VXLCU']
A10O1SW6BBO00O	14	['B0099VXLCU']
A10O1SW6BBO00O	19	['B0096QYAT6']
A10O1SW6BBO00O	50	['B0093BAJ62']
A10O7THJ2O20AG	1	['B00BV96VDY', 'B00BLQIIWY']
A10O7THJ2O20AG	5	['B002D4IHYM']
A10O9F1USTRHA0	1	['B00DMKGPP4', 'B00ESJGMLU']
A10O9F1USTRHA0	10	['B00EO5N6T4']
A10OBCPESB72J1	1	['B004WIQW3U', 'B005SUHPO6', 'B0068OP30O']
A10OBCPESB72J1	10	['B004W3LKZ0']
A10OBCPESB72J1	12	['B003QUQ2DA']
A10OBCPESB72J1	17	['B0050FDFQQ']
A10OBCPESB72J1	23	['B004WIQW3U']
A10OE3V66RU992	1	['B00E486Q9I']
A10OKOVW2N9QYJ	1	['B009D4HHT6']
A10OKOVW2N9QYJ	17	['B00FME4NAW']
A10OTXVJQEX3HY	1	['B009D4HHT6']
A10OTXVJQEX3HY	15	['B008VP21BW']
A10OTZO2OSOE9F	1	['B005NK13BC']
A10OTZO2OSOE9F	16	['B003X26SLC']
A10OTZO2OSOE9F	3	['B005HBAJ1C']
A10OTZO2OSOE9F	8	['B0039YP2VG']
A10OZ3FSDGIRB6	1	['B009B3TVX4']
A10OZ3FSDGIRB6	27	['B00A8WJUB0']
A10OZF186SHB00	1	['B00DB0J0QQ']
A10OZF186SHB00	22	['B00DB0J0QQ']
A10PEXB6XAQ5XF	1	['B009K6W39G', 'B005SUHPO6']
A10PEXB6XAQ5XF	12	['B003ZA86CQ']
A10PF1T971XAE2	1	['B00ELMXX20', 'B00BITDJLE']
A10PMLZW5X97WO	1	['B003QOOVIO']
A10Q3HAIRCKOGT	1	['B003M2Y3UQ']
A10Q3HAIRCKOGT	12	['B003RDWZBY']
A10QMEDMKBKUAK	1	['B009AB6MBG']
A10QMNN3TCJU3E	1	['B009DUCKLU', 'B00B3FROF0']
A10QMNN3TCJU3E	4	['B00ATL6OOG']
A10R21T101R5NJ	1	['B00DGFVVWC']
A10R21T101R5NJ	12	['B006JB6XH8']
A10R7U9UDLB8IS	10	['B0095VIIKO']
A10RA0TOG86QYC	1	['B0090YGJ4I']
A10RA0TOG86QYC	15	['B0013G8PTS']
A10RA0TOG86QYC	34	['B0013G8PTS']
A10RA0TOG86QYC	5	['B00HCMZUZE']
A10RDEXWPI28ZI	1	['B00BFY6RFW', 'B00BCX2F5M', 'B00D25ZUK0']
A10RDEXWPI28ZI	10	['B00CIGOW7G']
A10RDEXWPI28ZI	12	['B00AAMX72Q', 'B00BO2OU90']
A10RDEXWPI28ZI	14	['B00BO2OU90']
A10RMVX6EE90N6	1	['B00EPLTC1I']
A10RMVX6EE90N6	12	['B00HTK5U9K']
A10RMVX6EE90N6	16	['B001DN5030', 'B0000SX3BK']
A10RMVX6EE90N6	20	['B00EOABX5S']
A10RN92S0XE4G5	1	['B00BW6GH76']
A10S8YW9QIGVS0	1	['B0058O0ANU']
A10S8YW9QIGVS0	17	['B004LSN0GS']
A10S8YW9QIGVS0	19	['B0058O0ANU']
A10S8YW9QIGVS0	22	['B0064R6VWO']
A10SN04N185NZD	1	['B0054EBOIO', 'B008PTQ8I6', 'B006G7Z6VY']
A10SN04N185NZD	3	['B00AAJM81A']
A10SN9DRYMG5QQ	10	['B00FRAJS4W']
A10SN9DRYMG5QQ	12	['B00FW417WO']
A10SN9DRYMG5QQ	13	['B008QBFD2K']
A10TF6TUAV0XZP	25	['B004WOT3FI', 'B004GYTAN4']
A10TF6TUAV0XZP	27	['B004M8ST18']
A10TF6TUAV0XZP	6	['B0052L6RRM']
A10TFL9E75GUE2	1	['B0099YAWWO', 'B0090YGJ4I']
A10TQ6Z29A7KXL	1	['B00CLUZ8OU', 'B005SUHPO6']
A10TQ6Z29A7KXL	11	['B00CLUZ8OU']
A10TQ6Z29A7KXL	12	['B00BT7RAPG']
A10TQ6Z29A7KXL	14	['B00BT7RAPG']
A10U3Z35FCPXF2	1	['B0093IHVJI', 'B00ANALDWQ']
A10U3Z35FCPXF2	16	['B000FYU4SO']
A10U3Z35FCPXF2	6	['B000RZFNN2']
A10U865N53IXNR	1	['B003OBU5AM']
A10U865N53IXNR	14	['B003OBU5AM']
A10UC2T2HQNSIS	1	['B00C7CTA32', 'B006PUSYBQ', 'B00CKT0RM0', 'B009GSFEYY']
A10UCR7QHTF29U	1	['B009EB8Q9S', 'B00DT346XM', 'B00995AT9E', 'B003SHR7Y4', 'B00974L0EA']
A10UCR7QHTF29U	23	['B009GCAAYY', 'B00974L0EA']
A10UHQH1YL5Q6B	1	['B004RDH8OM', 'B0059DLL8I', 'B007R2SD26', 'B009C6KFE4', 'B005I1WAJK', 'B00F8P9UFS', 'B0093CDLM0', 'B004I11TZC', 'B0058RWPTY', 'B005VNK7T0']
A10UHQH1YL5Q6B	12	['B00CDWTQD0', 'B0092QSQ3Q']
A10UHQH1YL5Q6B	13	['B00APEIXE6']
A10UHQH1YL5Q6B	26	['B004RDH8OM']
A10UKRVBOWHCX0	1	['B004YN958M', 'B005G0QR6K', 'B005VNJNA4']
A10ULXOBNDF8GX	1	['B00D4YJTRY']
A10ULXOBNDF8GX	13	['B005HBH1R2']
A10ULXOBNDF8GX	15	['B005LFXBJG']
A10UOHJS0VRPP9	1	['B0099YAWWO']
A10UOHJS0VRPP9	12	['B009EJ92PC']
A10UOHJS0VRPP9	27	['B00B78MT44']
A10USAZWCKG7K3	17	['B005XBCCZ2']
A10UV0173UF8Q1	13	['B008KY8PVO']
A10V98RI27MO5X	1	['B005SUHPO6']
A10V98RI27MO5X	25	['B007C5S3AU']
